timestamp_us,ax,ay,az,gx,gy,gz,dbfs
1348307561,-8.207323,0.148441,-3.284845,-0.029311,0.001599,0.023715,-51.11
1348317540,-8.207323,0.138864,-3.347094,-0.025314,-0.005462,0.024115,-50.65
1348327570,-8.228871,0.184354,-3.294421,-0.025314,-0.002531,0.025580,-54.27
1348337557,-7.994239,0.124498,-3.244143,-0.027579,-0.001732,0.027046,-50.96
1348347567,-8.149862,0.131681,-3.236961,-0.023982,0.000266,0.021184,-51.55
1348357566,-8.327033,0.119710,-3.349488,-0.028645,0.024248,0.026513,-51.64
1348367573,-8.078036,0.146046,-3.311181,-0.025580,-0.008926,0.025580,-52.22
1348377554,-8.161834,0.129287,-3.260903,-0.023049,-0.016254,0.025580,-52.11
1348387547,-8.243237,0.119710,-3.378219,-0.027712,0.013456,0.025980,-49.96
1348397575,-8.090008,0.105345,-3.268085,-0.029311,-0.000533,0.027312,-52.97
1348407580,-8.169016,0.105345,-3.313575,-0.024515,-0.010658,0.022516,-51.25
1348417557,-8.276755,0.107739,-3.344700,-0.029844,0.002265,0.025847,-50.25
1348427572,-8.236053,0.112527,-3.318364,-0.030510,0.001732,0.024914,-55.62
1348437522,-8.171411,0.136469,-3.282450,-0.025181,-0.005462,0.024648,-50.73
1348447568,-8.176199,0.129287,-3.320758,-0.028245,-0.004796,0.025181,-51.77
1348457542,-8.216900,0.105345,-3.234566,-0.025980,-0.001332,0.025980,-49.71
1348467573,-8.192958,0.079009,-3.256114,-0.028112,0.000133,0.026779,-52.62
1348477571,-8.276755,0.119710,-3.320758,-0.026779,-0.000666,0.023449,-53.05
1348487569,-8.224083,0.141258,-3.299210,-0.028245,-0.001599,0.027179,-55.06
1348497573,-8.185776,0.076614,-3.289633,-0.027979,-0.003730,0.025847,-51.74
1348507554,-8.171411,0.169988,-3.172317,-0.024914,-0.001732,0.023715,-50.37
1348517555,-8.149862,0.100556,-3.342306,-0.029577,-0.003064,0.022116,-51.06
1348527543,-8.171411,0.105345,-3.220201,-0.028778,-0.000933,0.022649,-50.23
1348537562,-8.245630,0.131681,-3.414132,-0.024781,0.001732,0.027712,-51.09
1348547569,-8.185776,0.117316,-3.337517,-0.027712,-0.003864,0.024648,-52.36
1348557568,-8.106767,0.071826,-3.339911,-0.027312,-0.009459,0.026380,-52.99
